Steppingstone sampler:
        No Stones:                  100
        Start It:                   5000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-38.440525	-38.440525
1	0.950747	750	-37.869328	-76.309854
2	0.926679	750	-37.285520	-113.595374
3	0.902980	750	-36.719026	-150.314399
4	0.879648	750	-36.125145	-186.439544
5	0.856682	750	-35.599430	-222.038974
6	0.834079	750	-35.011826	-257.050800
7	0.811838	750	-34.475457	-291.526257
8	0.789957	750	-33.887464	-325.413720
9	0.768433	750	-33.381055	-358.794776
10	0.747266	750	-32.809500	-391.604276
11	0.726452	750	-32.268417	-423.872693
12	0.705989	750	-31.767328	-455.640021
13	0.685877	750	-31.184885	-486.824906
14	0.666112	750	-30.652008	-517.476914
15	0.646693	750	-30.142168	-547.619082
16	0.627618	750	-29.562731	-577.181814
17	0.608884	750	-29.040075	-606.221888
18	0.590490	750	-28.534377	-634.756265
19	0.572433	750	-28.023967	-662.780232
20	0.554712	750	-27.537583	-690.317815
21	0.537324	750	-26.984591	-717.302407
22	0.520268	750	-26.495074	-743.797480
23	0.503540	750	-25.968623	-769.766103
24	0.487139	750	-25.495344	-795.261447
25	0.471063	750	-24.965849	-820.227296
26	0.455310	750	-24.490381	-844.717676
27	0.439877	750	-23.974568	-868.692245
28	0.424762	750	-23.471396	-892.163641
29	0.409963	750	-23.012477	-915.176118
30	0.395478	750	-22.510985	-937.687103
31	0.381305	750	-22.061945	-959.749048
32	0.367440	750	-21.568663	-981.317711
33	0.353883	750	-21.130094	-1002.447804
34	0.340630	750	-20.613196	-1023.061001
35	0.327680	750	-20.167903	-1043.228904
36	0.315030	750	-19.694483	-1062.923387
37	0.302677	750	-19.246014	-1082.169401
38	0.290619	750	-18.801895	-1100.971296
39	0.278855	750	-18.367323	-1119.338619
40	0.267381	750	-17.893464	-1137.232083
41	0.256195	750	-17.446808	-1154.678891
42	0.245294	750	-16.973722	-1171.652613
43	0.234677	750	-16.560231	-1188.212844
44	0.224340	750	-16.157097	-1204.369941
45	0.214281	750	-15.743834	-1220.113775
46	0.204498	750	-15.332495	-1235.446270
47	0.194988	750	-14.896532	-1250.342801
48	0.185749	750	-14.448149	-1264.790950
49	0.176777	750	-14.079601	-1278.870552
50	0.168070	750	-13.641029	-1292.511581
51	0.159626	750	-13.261999	-1305.773580
52	0.151441	750	-12.879171	-1318.652751
53	0.143514	750	-12.452598	-1331.105348
54	0.135841	750	-12.139045	-1343.244394
55	0.128420	750	-11.639263	-1354.883657
56	0.121247	750	-11.360725	-1366.244382
57	0.114320	750	-10.968014	-1377.212396
58	0.107637	750	-10.561953	-1387.774349
59	0.101193	750	-10.199948	-1397.974297
60	0.094986	750	-9.856497	-1407.830795
61	0.089014	750	-9.442422	-1417.273216
62	0.083273	750	-9.119421	-1426.392637
63	0.077760	750	-8.744113	-1435.136750
64	0.072472	750	-8.432607	-1443.569358
65	0.067406	750	-8.041813	-1451.611170
66	0.062558	750	-7.812427	-1459.423597
67	0.057926	750	-7.469467	-1466.893064
68	0.053506	750	-7.114115	-1474.007179
69	0.049295	750	-6.783637	-1480.790816
70	0.045289	750	-6.490986	-1487.281801
71	0.041485	750	-6.199737	-1493.481538
72	0.037880	750	-5.863315	-1499.344853
73	0.034469	750	-5.578342	-1504.923195
74	0.031250	750	-5.239720	-1510.162915
75	0.028218	750	-5.023575	-1515.186490
76	0.025370	750	-4.771086	-1519.957576
77	0.022702	750	-4.539652	-1524.497228
78	0.020209	750	-4.156623	-1528.653851
79	0.017889	750	-3.885882	-1532.539734
80	0.015736	750	-3.740549	-1536.280282
81	0.013746	750	-3.406858	-1539.687141
82	0.011916	750	-3.214459	-1542.901599
83	0.010240	750	-3.001878	-1545.903477
84	0.008714	750	-2.689742	-1548.593220
85	0.007334	750	-2.573711	-1551.166930
86	0.006093	750	-2.283693	-1553.450624
87	0.004988	750	-2.090078	-1555.540702
88	0.004013	750	-1.852581	-1557.393282
89	0.003162	750	-1.650939	-1559.044221
90	0.002430	750	-1.436613	-1560.480835
91	0.001810	750	-1.232964	-1561.713799
92	0.001296	750	-1.077800	-1562.791599
93	0.000882	750	-0.924556	-1563.716155
94	0.000559	750	-0.676156	-1564.392310
95	0.000320	750	-0.523428	-1564.915739
96	0.000156	750	-0.367513	-1565.283252
97	0.000057	750	-0.216304	-1565.499556
98	0.000010	750	-0.103616	-1565.603172
99	0.000000	750	-0.022301	-1565.625473
Log marginal likelihood:	-1565.625473
